28, -6827, 6827
83, 153, 153
106, 5765, 5765
140, 9040, 9040
142, -5006, 5006
159, 6512, 6512
271, 2052, 2052
503, 9374, 9374
538, 53, 53
559, 5200, 5200
585, 7157, 7157
621, -1003, 1003
635, 4182, 4182
702, 6282, 6282
836, -4355, 4355
839, -202, 202
862, -1833, 1833
953, -9170, 9170
1012, 3694, 3694
1017, 5423, 5423
1056, 1264, 1264
1068, 7384, 7384
1151, 4485, 4485
1245, -4675, 4675
1416, 3221, 3221
1497, -104, 104
1710, -4932, 4932
1731, -2589, 2589
1928, -8027, 8027
2327, 1221, 1221
2363, 5508, 5508
2510, -9763, 9763
2525, -1224, 1224
2525, -5411, 5411
2570, 2011, 2011
2588, 3452, 3452
2619, -3971, 3971
2630, -2722, 2722
2726, -8132, 8132
2816, 5184, 5184
2848, 9309, 9309
2862, 4806, 4806
2935, 6633, 6633
2993, 807, 807
3165, -8638, 8638
3245, -905, 905
3281, 7572, 7572
3396, -5565, 5565
3537, -1577, 1577
3588, 1672, 1672
3608, 8925, 8925
3789, -1991, 1991
3888, 4364, 4364
3902, 2042, 2042
3977, 9763, 9763
4016, 8360, 8360
4031, 1599, 1599
4270, 8483, 8483
4313, 2785, 2785
4365, -2890, 2890
4380, -396, 396
4488, -6172, 6172
4625, 5651, 5651
4723, -3489, 3489
4734, 6367, 6367
121
